model,num_params,iter,tokens,train_loss,val_loss
mlp,3857,0,0,4.248528456687927,4.245667767524719
mlp,3857,250,64000,2.9677340006828308,2.975291140079498
mlp,3857,500,128000,2.7713349533081053,2.7856540656089783
mlp,3857,750,192000,2.6621857476234436,2.6689159083366394
mlp,3857,1000,256000,2.6052064180374144,2.6328794598579406
mlp,3857,1250,320000,2.5731203150749207,2.600852885246277
mlp,3857,1500,384000,2.541376016139984,2.5695903372764586
mlp,3857,1750,448000,2.548549370765686,2.5645853447914124
mlp,3857,2000,512000,2.549230992794037,2.5548578238487245
mlp,3857,2250,576000,2.5426173973083497,2.55984322309494
mlp,3857,2500,640000,2.50947297334671,2.5484249496459963
mlp,3857,2750,704000,2.507165424823761,2.5552570962905885
mlp,3857,3000,768000,2.4948230004310608,2.5483332514762878
mlp,3857,3250,832000,2.497988932132721,2.5450007271766664
mlp,3857,3500,896000,2.4946738648414613,2.530212903022766
mlp,3857,3750,960000,2.5017046093940736,2.5383572816848754
mlp,3857,4000,1024000,2.4928772258758545,2.527579209804535
mlp,3857,4250,1088000,2.4916334438323973,2.52885941028595
mlp,3857,4500,1152000,2.4978288316726687,2.515638964176178
mlp,3857,4750,1216000,2.482251887321472,2.516039834022522
mlp,3857,5000,1280000,2.4844910097122193,2.5184658551216126
mlp_sum,3965,0,0,4.248909258842469,4.248050518035889
mlp_sum,3965,250,64000,3.1904925322532653,3.190838258266449
mlp_sum,3965,500,128000,3.0898175740242007,3.0914865589141844
mlp_sum,3965,750,192000,3.0252820014953614,3.006910712718964
mlp_sum,3965,1000,256000,2.9796609020233156,2.977312831878662
mlp_sum,3965,1250,320000,2.943592209815979,2.9512768673896788
mlp_sum,3965,1500,384000,2.921901435852051,2.9158573532104493
mlp_sum,3965,1750,448000,2.8962540817260742,2.9010741925239563
mlp_sum,3965,2000,512000,2.8974947834014895,2.8830632972717285
mlp_sum,3965,2250,576000,2.8804373145103455,2.8847566485404967
mlp_sum,3965,2500,640000,2.8464768648147585,2.869724893569946
mlp_sum,3965,2750,704000,2.8330248260498045,2.867154772281647
mlp_sum,3965,3000,768000,2.827690417766571,2.8588498306274412
mlp_sum,3965,3250,832000,2.8275265765190123,2.8520115423202514
mlp_sum,3965,3500,896000,2.8213462018966675,2.835830659866333
mlp_sum,3965,3750,960000,2.8200115275382998,2.8351700735092162
mlp_sum,3965,4000,1024000,2.8103903794288634,2.824831314086914
mlp_sum,3965,4250,1088000,2.803945553302765,2.821275084018707
mlp_sum,3965,4500,1152000,2.7991377830505373,2.8043171906471254
mlp_sum,3965,4750,1216000,2.78592734336853,2.8001191234588623
mlp_sum,3965,5000,1280000,2.7837788558006284,2.801500070095062
mlp_concat,3705,0,0,4.235860896110535,4.233930158615112
mlp_concat,3705,250,64000,3.0420013546943663,3.0396066164970397
mlp_concat,3705,500,128000,2.819262583255768,2.833058695793152
mlp_concat,3705,750,192000,2.673741443157196,2.6724038434028627
mlp_concat,3705,1000,256000,2.5779724597930906,2.6033098673820496
mlp_concat,3705,1250,320000,2.498186717033386,2.5204233813285826
mlp_concat,3705,1500,384000,2.438749907016754,2.4553344154357912
mlp_concat,3705,1750,448000,2.419741382598877,2.4317891454696654
mlp_concat,3705,2000,512000,2.4068997859954835,2.4037480783462524
mlp_concat,3705,2250,576000,2.385085337162018,2.395541880130768
mlp_concat,3705,2500,640000,2.3510609340667723,2.381173298358917
mlp_concat,3705,2750,704000,2.3296269273757932,2.3755008578300476
mlp_concat,3705,3000,768000,2.314291458129883,2.3623919010162355
mlp_concat,3705,3250,832000,2.3164304232597352,2.3671877503395082
mlp_concat,3705,3500,896000,2.3034147596359253,2.332102887630463
mlp_concat,3705,3750,960000,2.310592384338379,2.3438571071624756
mlp_concat,3705,4000,1024000,2.2968990349769594,2.3264477682113647
mlp_concat,3705,4250,1088000,2.2967878770828247,2.324004800319672
mlp_concat,3705,4500,1152000,2.294801871776581,2.31349262714386
mlp_concat,3705,4750,1216000,2.2774340319633484,2.3076206994056703
mlp_concat,3705,5000,1280000,2.2742040157318115,2.308483536243439
rnn,3913,0,0,4.2467434072494505,4.243082790374756
rnn,3913,250,64000,2.923365020751953,2.9345232105255126
rnn,3913,500,128000,2.6389548850059508,2.660590257644653
rnn,3913,750,192000,2.5159737610816957,2.5233006286621094
rnn,3913,1000,256000,2.4502689337730406,2.4760382270812986
rnn,3913,1250,320000,2.400237493515015,2.4264336824417114
rnn,3913,1500,384000,2.3563542342185975,2.378537218570709
rnn,3913,1750,448000,2.3525800704956055,2.3644446754455566
rnn,3913,2000,512000,2.342305793762207,2.3376158022880555
rnn,3913,2250,576000,2.3208781456947327,2.336240916252136
rnn,3913,2500,640000,2.2834965229034423,2.326682457923889
rnn,3913,2750,704000,2.2674096775054933,2.317049310207367
rnn,3913,3000,768000,2.2500246381759643,2.3069516944885256
rnn,3913,3250,832000,2.2536986207962038,2.3019697737693785
rnn,3913,3500,896000,2.238997086286545,2.2752162170410157
rnn,3913,3750,960000,2.246801176071167,2.2818746638298033
rnn,3913,4000,1024000,2.227270128726959,2.2658828783035276
rnn,3913,4250,1088000,2.229916121959686,2.2657414865493775
rnn,3913,4500,1152000,2.2233703756332397,2.2532984948158266
rnn,3913,4750,1216000,2.208614242076874,2.246181275844574
rnn,3913,5000,1280000,2.205606679916382,2.246022119522095
lstm,3751,0,0,4.175155849456787,4.177733898162842
lstm,3751,250,64000,3.1533302736282347,3.1666690802574156
lstm,3751,500,128000,2.9096700525283814,2.9276710677146913
lstm,3751,750,192000,2.7384182596206665,2.739088442325592
lstm,3751,1000,256000,2.6406642460823058,2.660024209022522
lstm,3751,1250,320000,2.568612575531006,2.5900923824310302
lstm,3751,1500,384000,2.5194901919364927,2.5310601687431333
lstm,3751,1750,448000,2.497858073711395,2.5035847353935243
lstm,3751,2000,512000,2.485320656299591,2.476438980102539
lstm,3751,2250,576000,2.4612536907196043,2.4707569003105165
lstm,3751,2500,640000,2.4292420172691345,2.457231431007385
lstm,3751,2750,704000,2.4100894355773925,2.448328855037689
lstm,3751,3000,768000,2.389868290424347,2.432915780544281
lstm,3751,3250,832000,2.385545537471771,2.4255136108398436
lstm,3751,3500,896000,2.374291501045227,2.399124491214752
lstm,3751,3750,960000,2.3776992630958556,2.3960563111305238
lstm,3751,4000,1024000,2.358302819728851,2.3811575841903685
lstm,3751,4250,1088000,2.355111861228943,2.3781336164474487
lstm,3751,4500,1152000,2.3495807075500488,2.3647899866104125
lstm,3751,4750,1216000,2.32603178024292,2.352603223323822
lstm,3751,5000,1280000,2.324061443805695,2.3519315695762635
attention,3993,0,0,4.335938653945923,4.342850513458252
attention,3993,250,64000,3.2125607085227967,3.225224642753601
attention,3993,500,128000,2.895205569267273,2.91031090259552
attention,3993,750,192000,2.717290108203888,2.713369359970093
attention,3993,1000,256000,2.646397359371185,2.664497637748718
attention,3993,1250,320000,2.604048397541046,2.6148948740959166
attention,3993,1500,384000,2.55336856842041,2.5728610873222353
attention,3993,1750,448000,2.5479836535453795,2.556062364578247
attention,3993,2000,512000,2.5420743227005005,2.529381036758423
attention,3993,2250,576000,2.5175044631958006,2.523647861480713
attention,3993,2500,640000,2.475894112586975,2.499565558433533
attention,3993,2750,704000,2.4566250014305115,2.49957129240036
attention,3993,3000,768000,2.4375222063064577,2.485491135120392
attention,3993,3250,832000,2.4333274149894715,2.4686364269256593
attention,3993,3500,896000,2.423448295593262,2.4463003206253053
attention,3993,3750,960000,2.4243880891799927,2.44794248342514
attention,3993,4000,1024000,2.3994750428199767,2.427977225780487
attention,3993,4250,1088000,2.390868718624115,2.4251088976860045
attention,3993,4500,1152000,2.3960360884666443,2.4063197207450866
attention,3993,4750,1216000,2.372545454502106,2.4057811307907104
attention,3993,5000,1280000,2.3767418313026427,2.4000198316574095
